Alias,Network,Color,Theme,HQ,Cardinal,Vice,BattlePerk,BattleQuirk,Instance,PartnerAlias,FamilyRole,FamilyRoleOrder,FirstName,LastName,AgeOriginal,Occupation,JobVenue,Race,Height,Weight,Feet,Band,Residence,JobVenueArea,JobVenueRegion
Parker S,Sebastian,Violet,Underworld,Iron Syndicate,Glamour,Sloth,Alluring,Constrained,7,Natalie B,uncle,7,Parker,Savage,,Cyber Security / Blackmailer,Iron Syndicate,White,68.0,180.0,9.5,7.5,NW District,Shady Town,Shady District
Thor J,Sebastian,Violet,Underworld,Iron Syndicate,Glamour,Sloth,Alluring,Constrained,8,April O,uncle,8,Thor,Johnson,,Demolitions Expert,Iron Syndicate,White,71.0,240.0,12.0,8.0,NW District,Shady Town,Shady District
Richard G,Dan,Indigo,Tech Development,Digital Dynamo,Prominence,Pride,Dedicated,Apathetic,1,Sandy L,dan,1,Richard,Glaze,,Magic Tech Merchant,Magic Tech,White,74.0,220.0,11.5,9.0,N District,Lexena Market,N District
Tommy W,Dan,Indigo,Tech Development,Digital Dynamo,Prominence,Pride,Dedicated,Apathetic,2,Serena H,dan,2,Tommy,Wolff,,DD Cafeteria Employee,Dan's Break Room,White,73.0,170.0,10.5,9.0,N District,Digital Dynamo,SW District
Ryan D,Dan,Indigo,Tech Development,Digital Dynamo,Prominence,Pride,Dedicated,Apathetic,3,Kylie Q,dan,3,Ryan,Driller,,Laserbeat Arcade Host,Dance Bar,White,73.0,210.0,12.0,9.25,SW District,Dance Bar,N District
Oliver F,Dan,Indigo,Tech Development,Digital Dynamo,Prominence,Pride,Dedicated,Apathetic,4,Blake B,dan,4,Oliver,Flynn,,QA Analyst / The Cleaner,DD,White,72.0,180.0,13.5,10.0,SW District,Digital Dynamo,SW District
Codey S,Dan,Indigo,Tech Development,Digital Dynamo,Prominence,Pride,Dedicated,Apathetic,5,Sidra S,dan,5,Codey,Steele,,Project Manager / Scrum Master,DD,White,70.0,180.0,12.0,7.5,SW District,Digital Dynamo,SW District
Brick D,Dan,Indigo,Tech Development,Digital Dynamo,Prominence,Pride,Dedicated,Apathetic,6,Blake B,dan,6,Brick,Danger,,Security Specialist / Enforcer,DD,White,70.0,170.0,10.0,7.5,SW District,Digital Dynamo,SW District
Dan D,Dan,Indigo,Tech Development,Digital Dynamo,Prominence,Pride,Dedicated,Apathetic,7,Chloe T,dan,7,Dan,Damage,,Junior Developer / Lookout,DD,White,77.0,215.0,12.0,9.0,NW District,Digital Dynamo,SW District
Sam S,Dan,Indigo,Tech Development,Digital Dynamo,Prominence,Pride,Dedicated,Apathetic,8,Blake B,dan,8,Sam,Shock,,Lead Architect / Alibi,DD,White,74.0,200.0,11.5,9.5,SW District,Digital Dynamo,SW District
Logan X,Nick,Red,Gang Wars,Fraternity House,Imperium,Anger,Intimidating,Defiant,1,Valerica S,nick,1,Logan,Xander,32.0,Gym Owner,Erotic Market,White,70.0,170.0,11.0,8.0,N District,Shady Town,Shady District
Josh R,Nick,Red,Gang Wars,Fraternity House,Imperium,Anger,Intimidating,Defiant,2,Vivianne D,nick,2,Josh,Rivers,23.0,UC Cafeteria Staff,College Cafeteria,White,74.0,165.0,10.25,7.5,SW District,Unity College,Central District
Kyle M,Nick,Red,Gang Wars,Fraternity House,Imperium,Anger,Intimidating,Defiant,3,Anna C,nick,3,Kyle,Mason,25.0,Lifeguard,Beach,White,72.0,190.0,10.0,9.0,College Dorm,Beach,NW District
Luke C,Nick,Red,Gang Wars,Fraternity House,Imperium,Anger,Intimidating,Defiant,4,Brin S,nick,4,Luke,Cooper,28.0,Fraternity Member,Fraternity House,White,72.0,185.0,10.5,8.0,Fraternity House,Fraternity House,Central District
Zack D,Nick,Red,Gang Wars,Fraternity House,Imperium,Anger,Intimidating,Defiant,5,Violet M,nick,5,Zack,Dickson,27.0,Fraternity Member,Fraternity House,White,74.0,200.0,12.0,7.5,Fraternity House,Fraternity House,Central District
Chase A,Nick,Red,Gang Wars,Fraternity House,Imperium,Anger,Intimidating,Defiant,6,Kyler Q,nick,6,Chase,Arcangel,26.0,Fraternity Member,Fraternity House,White,72.0,175.0,11.0,8.0,Fraternity House,Fraternity House,Central District
Johnny L,Nick,Red,Gang Wars,Fraternity House,Imperium,Anger,Intimidating,Defiant,7,Venus V,nick,7,Johnny,Love,28.0,Fraternity Member,Fraternity House,Latino,67.0,196.0,9.0,9.0,Fraternity House,Fraternity House,Central District
Ryan L,Nick,Red,Gang Wars,Fraternity House,Imperium,Anger,Intimidating,Defiant,8,Anna C,nick,8,Ryan,Love,24.0,Fraternity Member,Fraternity House,White,60.0,265.0,10.0,7.0,Fraternity House,Fraternity House,Central District
Peter K,Rick,Green,College Politics,Unity College,Affluence,Greed,Popular,Unsung,1,Sawyer C,rick,1,Peter,King,35.0,Clothes Shop Merchant,Clothes Shop,White,70.0,160.0,10.5,8.5,N District,Lexena Market,N District
Eddie D,Rick,Green,College Politics,Unity College,Affluence,Greed,Popular,Unsung,2,Valerica S,rick,2,Eddie,Dean,32.0,Student,Culinary Club,Latino,65.0,160.0,10.25,8.0,College Dorm,Unity College,Central District
Criss S,Rick,Green,College Politics,Unity College,Affluence,Greed,Popular,Unsung,3,Kyler Q,rick,3,Criss,Simon,38.0,UC Principal,College Principal Office,White,73.0,175.0,11.0,8.25,NW District,Unity College,Central District
Filthy R,Rick,Green,College Politics,Unity College,Affluence,Greed,Popular,Unsung,4,Sidra S,rick,4,Filthy,Rich,40.0,UC Treasurer,College Treasury Office,White,71.0,165.0,10.5,8.5,NW District,Unity College,Central District
Kai J,Rick,Green,College Politics,Unity College,Affluence,Greed,Popular,Unsung,5,Eva N,rick,5,Kai,Jaxon,24.0,Student,Music Club,White,72.0,175.0,11.5,8.0,College Dorm,Unity College,Central District
Matty I,Rick,Green,College Politics,Unity College,Affluence,Greed,Popular,Unsung,6,Krissy K,rick,6,Matty,Icee,29.0,Student,Chemistry Club,White,72.0,165.0,12.0,7.0,College Dorm,Unity College,Central District
Jodie J,Rick,Green,College Politics,Unity College,Affluence,Greed,Popular,Unsung,7,Charlotte M,rick,7,Jodie,Johnson,27.0,Student,Art Club,White,72.0,135.0,10.0,7.5,College Dorm,Unity College,Central District
Apollo B,Rick,Green,College Politics,Unity College,Affluence,Greed,Popular,Unsung,8,Braylin B,rick,8,Apollo,Banks,35.0,Student,Herbology Club,Latino,70.0,145.0,9.5,8.0,College Dorm,Unity College,Central District
