Asc_Prof_Alias,Asc_Prof_Network,Asc_Prof_Obj,Asc_Prof_FirstName,Asc_Prof_LastName,Asc_Prof_Archetype,Asc_Prof_Role,Asc_Prof_HiddenRoles,Asc_Prof_Age,Asc_System_Age_Original,Asc_Prof_Occupation,Asc_Prof_JobVenue,Asc_Prof_JobLevel,Asc_Prof_JobSchedStart,Asc_Prof_Race,Asc_Prof_Height,Asc_Prof_Weight,Asc_Prof_Feet,Asc_Prof_Band,Asc_Prof_Residence,Asc_Prof_SubResidence,Asc_Prof_PartnerName,Asc_Prof_PartnerJobLevel,Asc_Prof_Partner_Desc,Asc_Prof_Weapon,Asc_Prof_Attack_Name,Asc_Prof_Attack_Desc,Asc_Prof_Attack_Type
Max S,Kevin,Asc_Max_S,Max,Steele,The Analyst,Cafe Barista,The Financial Modeler / The Liability,27,,Cafe Barista,Cafe Royale,5,9,White,69,180,9,7.5,SE District,House_SEDistrict_Max_S,Nia Bleu,5,"**Partner:** Nia Bleu (Wife). **Financial Journalist** (Level 5). She covers the finance world, unaware her husband is enabling massive fraud.",Whistle (High Frequency),The Audit Whistleblower,"Uses the whistle to emit a painfully high-frequency sound blast upwards, exploiting his minimal physical effort to disable airborne opponents.",Anti-Air
Andrew B,Kevin,Asc_Andrew_B,Andrew,Blue,The Auditor,Junior Financial Auditor,The Blind Tool / The Enforcer,30,,Junior Financial Auditor,SGP,5,9,White,75,205,12,8,SE District,House_SEDistrict_Andrew_B,Kaye Lovely,4,**Partner:** Kaye Lovely (Wife). **Real Estate Broker** (Level 4). She views his job as boring but stable.,Steel Compliance Folder (Heavy),The Audit Charge,"Launches into a frustrated sprint, using the heavy steel folder as a shield and battering ram to smash into the target.",Charge
Brock C,Kevin,Asc_Brock_C,Brock,Cooper,The Liability,Senior Claims Analyst,The Signature / The Drunkard,38,,Senior Claims Analyst,SGP,7,9,White,70,165,10.5,8,SE District,House_SEDistrict_Brock_C,Eliza Eves,8,**Partner:** Eliza Eves (Wife). **District Attorney** (Level 8). She is the legal firepower keeping Brock's signature out of jail.,Golf Club (Weighted),The Corporate Betrayal,"Rushes forward and delivers a brutal, momentum-fueled golf swing aimed at the opponent's torso with desperate force.",Charge
Ramon N,Kevin,Asc_Ramon_N,Ramon,Nomar,The Fixer,IT Systems Administrator,The Backdoor / The Programmer,30,,IT Systems Administrator,SGP,6,9,Latino,74,209,9,6.25,SE District,House_SEDistrict_Ramon_N,Valerica Steele,6,**Partner:** Valerica Steele (Wife). **Nightclub Owner** (Level 6). She provides him with cash and the chaotic environment he needs to hide his digital tracks.,Electric Wire Gun (Low Voltage),The Overload,"Fires a low-voltage electrical wire or net from a gun-like apparatus to tangle, trip, and shock targets at ground level.",Low
Alex L,Kevin,Asc_Alex_L,Alex,Legend,The Rival,Risk Assessment Specialist,The Pedant / The Saboteur,35,,Risk Assessment Specialist,SGP,6,9,White,73,200,12,7.5,SE District,House_SEDistrict_Alex_L,Chloe Temple,7,**Partner:** Chloe Temple (Wife). **Architect** (Level 7). She sees Kevin as an inferior to Alex and encourages his ambition.,Micro-Camera Drone (High Velocity),Risk Assessment,"Throws a specialized, high-velocity micro-drone straight up, using its hard shell and speed to intercept and disable airborne threats.",Anti-Air
Danny S,Kevin,Asc_Danny_S,Danny,Steele,The Enforcer,Security Operations Manager,The Bouncer / The Musician,32,,Security Operations Manager,SGP,7,9,White,69,185,10.5,7.5,SE District,House_SEDistrict_Danny_S,Willow Ryder,7,**Partner:** Willow Ryder (Wife). **High-End Corporate Lawyer** (Level 7). She protects him legally from his physical actions.,Tenor Saxophone (Heavy Brass),The Solo Drop,"Leaps onto a high surface or structure and uses the heavy brass saxophone for a massive, downward-smashing attack (Stage Dive).",Aerial
Jay P,William,Asc_Jay_P,Jay,P,The Heir,Real Estate Heir / Socialite,The Face / The Spender,25,,Dime Time Merchant,Dime Time,8,15,Latino,71,155,10.25,7.5,N District,House_NDistrict_Jay_P,Alex,7,"**Partner:** Alex (Wife). A **Gallery Owner** (Level 7). She manages the cultural capital for their brand, ensuring their parties are seen as 'art'.",Champagne Saber,The Cork Pop,Slashes wildly with a ceremonial saber while blinded by his own entitlement.,Charge
Colton C,William,Asc_Colton_C,Colton,Corso,The Fixer,Crisis Manager / Lawyer,The Cleaner / The Legal Shield,30,,Country Cook,Country Grill,7,9,White,72,200,11,6.5,Country Ville,House_CountryVille_Colton_C,Danae Mari,6,**Partner:** Danae (Wife). A **PR Executive** (Level 6). She spins the disasters he legally manages into positive press.,Briefcase Gun,The Settlement,"Opens briefcase to reveal a hidden firearm, firing a suppressive shot while shouting legal jargon.",Anti-Air
Tommy P,William,Asc_Tommy_P,Tommy,Parker,The Supplier,Nightclub Promoter / Dealer,The Plug / The Party,24,,Beach Bartender,Beach Bar,4,9,White,72,178,12,7,SE District,House_SEDistrict_Tommy_P,Addison Vodka,3,**Partner:** Addison (Girlfriend). A **Bottle Service Girl** (Level 3). She helps him move product through the VIP sections.,Broken Bottle,The Bad Trip,"Blows a cloud of hallucinogenic vapor into the opponent's face, then stabs with a bottle.",Anti-Air
Ridge C,William,Asc_Ridge_C,Ridge,Crix,The Bodyguard,Private Security / Enforcer,The Wall / The Silencer,32,,Sheriff,Country Sheriff Office,6,9,White,69,185,10,7,Country Ville,House_CountryVille_Ridge_C,Jenifer Jane,5,**Partner:** Jenifer (Wife). A **ER Nurse** (Level 5). She patches him up after 'work' without asking questions.,Brass Knuckles,The Door Check,A brutal shoulder check followed by a knuckle sandwich.,Charge
Jason S,William,Asc_Jason_S,Jason,Sarcinelli,The Operational Commander,Operational Commander,The Commander / The Mercenary,27,,Operational Commander,Farm,7,9,White,74,215,12.5,7.5,Country Ville,House_CountryVille_Jason_S,Eva Generosi,5,**Partner:** Eva (Wife). A **Model** (Level 5). She is his muse and mannequin.,Large Tractor,Tractor Ambush,Sabotages or runs down targets with machinery.,Low
Juan L,William,Asc_Juan_L,Juan,Largo,The Gourmet,Agricultural Lead,The Artist / The Glutton,35,,Agricultural Lead,Farm,6,9,Latino,72,169,9.5,7.25,Country Ville,House_CountryVille_Juan_L,Scarlett Fall,6,**Partner:** Scarlett (Wife). A **Sommelier** (Level 6). She pairs perfectly with his food and life.,Biogas Digester,Methane Detonation,Causes localized biogas blast/stench.,Charge
Adam L,William,Asc_Adam_L,Adam,Lee,The Landowner,Rancher / Supplier,The Grower / The Rural Root,38,,Cattle Lead,Farm,6,9,White,72,225,12,7,Country Ville,House_CountryVille_Adam_L,Serena Santos,5,**Partner:** Serena (Wife). A **Veterinarian** (Level 5). She cares for the livestock and keeps the farm running.,Roping Skills,The Entanglement,"Uses expert roping skills to trip, bind, and severely immobilize the opponent.",Charge
Jmac,William,Asc_Jmac,Jmac,,The Wheelman,Driver / Mechanic,The Transport / The Grease,26,,Town Vet,Country Vet Office,5,9,White,73,178,10.25,8.25,Country Ville,House_CountryVille_Jmac_,Kyler Quinn,4,**Partner:** Kyler (Girlfriend). A **Street Racer** (Level 4). She matches his speed and recklessness.,Tire Iron,The Road Rage,Swings a tire iron with the fury of a man cut off in traffic.,Charge
Cyrus K,Sebastian,Asc_Cyrus_K,Cyrus,King,The Quartermaster,Gun Shop Owner / Supplier,The Armorer / The Paranoid,36,,Gun Shop Owner / Supplier,Guns Storage,7,19,White,75,215,12,8.5,N District,House_NDistrict_Cyrus_K,Madi Collins,6,**Partner:** Madi (Wife). A **Logistics Manager** (Level 6). She organizes his inventory and tries to keep his paranoia in check.,Dual Pistols,The Gun Fu,A dazzling display of acrobatic shooting designed to impress as much as kill.,Anti-Air
London F,Sebastian,Asc_London_F,London,Ford,The Host,Club Owner / Host,The Face / The Lure,33,,Club Owner / Host,Uncle's Break Room,8,7,Asian White,72,188,10.5,6.5,SW District,House_SWDistrict_London_F,Sasha Tatcha,7,**Partner:** Sasha (Wife). A **Fashion Designer** (Level 7). She dresses him and designs the club's aesthetic.,Microphone Stand,The Spotlight,"Blinds the opponent with a stage light, then strikes with the heavy mic stand.",Anti-Air
Ray R,Sebastian,Asc_Ray_R,Ray,Raven,The Bartender,Bartender / Informant,The Listener / The Shadow,29,,Bartender / Informant,Pub Hemlock,5,19,White,76,225,11,6.25,SW District,House_SWDistrict_Ray_R,Ava West,5,**Partner:** Ava (Wife). A **Librarian** (Level 5). She appreciates his quiet nature.,Cocktail Shaker,The Mixology,Throws a volatile chemical cocktail that explodes in a cloud of intoxicating gas.,Anti-Air
Danny M,Sebastian,Asc_Danny_M,Danny,Mountain,The Bouncer,Bouncer / Muscle,The Gatekeeper / The Thug,26,,Surveillance Expert,Iron Syndicate,4,23,White,76,235,12,8,NW District,House_NWDistrict_Danny_M,Sadie Pop,4,**Partner:** Sadie (Girlfriend). A **Waitress** (Level 4). She works at the same club.,Extendable Baton,The Ejection,Grabs the opponent and physically throws them away as if tossing a drunk patron.,Charge
Max C,Sebastian,Asc_Max_C,Max,Cartel,The Hitman,Contract Killer / Cleaner,The End / The Ghost,35,,Contract Killer / Cleaner,Iron Syndicate,9,14,Latino,70,170,10,8,NW District,House_NWDistrict_Max_C,Asteria Jade,8,**Partner:** Asteria (Wife). A **Surgeon** (Level 8). She understands anatomy as well as he does.,Garrote Wire,The Silence,Appears behind the opponent and chokes them into unconsciousness with elegant efficiency.,Aerial
GI J,Sebastian,Asc_GI_J,GI,Joey,The Soldier,Mercenary / Tactical Leader,The General / The Veteran,40,,Mercenary / Tactical Leader,Iron Syndicate,8,19,White,73,225,11.5,9,NW District,House_NWDistrict_GI_J,Valerica Steele,8,"**Partner:** Valerica (Mistress). A **Private Wealth Manager** (Level 8). She is Ramon N's wife, adding a layer of dangerous Lust to his life.",Combat Knife,The Takedown,A military CQC maneuver that efficiently disarms and disables the opponent.,Charge
Parker S,Sebastian,Asc_Parker_S,Parker,Savage,The Hacker,Cyber Security / Blackmailer,The Watcher / The Leech,24,,Cyber Security / Blackmailer,Iron Syndicate,6,9,White,68,180,9.5,7.5,NW District,House_NWDistrict_Parker_S,Natalie Brooks,5,**Partner:** Natalie (Girlfriend). A **Coder** (Level 5). She helps him with complex hacks.,EMP Device,The Blackout,Detonates a small EMP that disables electronics and stuns opponents with a high-pitched whine.,Anti-Air
Thor J,Sebastian,Asc_Thor_J,Thor,Johnson,The Brute,Enforcer / Heavy,The Hammer / The Beast,28,,Demolitions Expert,Iron Syndicate,3,4,White,71,240,12,8,NW District,House_NWDistrict_Thor_J,April Olsen,7,**Partner:** April (Girlfriend). A **Bartender** (Level 3). She likes bad boys.,Heavy Chain,The Mjolnir Swing,Swings a heavy chain overhead and brings it down with crushing force.,Charge
Richard G,Dan,Asc_Richard_G,Richard,Glaze,The Tech CEO,Tech Startup CEO,The Futurist / The Surveillant,29,,Magic Tech Merchant,Magic Tech,9,9,White,74,220,11.5,9,N District,House_NDistrict_Richard_G,Sandy Love,7,**Partner:** Sandy (Wife). **PR Director** (Level 7). She manages his public image and keeps his arrogance in check.,Combat Drone,The Upgrade,Deploys a swarm of micro-drones to distract and disorient the target from above.,Anti-Air
Tommy W,Dan,Asc_Tommy_W,Tommy,Wolff,The Security Chief,Head of Security,The Enforcer / The Shield,35,,DD Cafeteria Employee,Dan's Break Room,5,9,White,73,170,10.5,9,N District,House_NDistrict_Tommy_W,Serena Hill,5,**Partner:** Serena (Wife). A **Nurse** (Level 5). She treats his injuries in secret.,Taser Baton,The Lockdown,Pins the target against a wall with a riot shield maneuver.,Charge
Ryan D,Dan,Asc_Ryan_D,Ryan,Driller,The Engineer,Software Engineer,The Architect / The Builder,26,,Laserbeat Arcade Host,Dance Bar,3,19,White,73,210,12,9.25,SW District,House_SWDistrict_Ryan_D,Kylie Quinn,5,**Partner:** Kylie (Wife). A **Teacher** (Level 5). She grounds him in reality.,Soldering Iron,The Short Circuit,"Jams an electrified tool into the opponent's gear, causing sparks and damage.",Low
Oliver F,Dan,Asc_Oliver_F,Oliver,Flynn,The Corporate Fixer,Operations Manager,The Bureaucrat / The Cleaner,32,,QA Analyst / The Cleaner,DD,6,9,White,72,180,13.5,10,SW District,House_SWDistrict_Oliver_F,Blake Blossom,6,**Partner:** Blake (Wife). A **Consultant** (Level 6). She helps him navigate corporate politics.,Red Tape,The Layoff,Throws a stack of termination papers that cut like knives.,Anti-Air
Codey S,Dan,Asc_Codey_S,Codey,Steele,The White Hat,Cyber Security Analyst,The Hacker / The Anarchist,24,,Project Manager / Scrum Master,DD,6,9,White,70,180,12,7.5,SW District,House_SWDistrict_Codey_S,Sidra Sage,5,**Partner:** Sidra (Girlfriend). A **DJ** (Level 5). She matches his chaotic energy.,Laptop,The Exploit,"Types furiously, causing nearby electronics to explode.",Aerial
Brick D,Dan,Asc_Brick_D,Brick,Danger,The Wall,Personal Bodyguard,The Heavy / The Mute,30,,Security Specialist / Enforcer,DD,6,9,White,70,170,10,7.5,SW District,House_SWDistrict_Brick_D,Blake Blossom,5,**Partner:** Blake (Wife). A **Chef** (Level 5). She cooks him massive meals.,Fists,The Blockade,"Stands firm and absorbs all damage, then counters with a massive shove.",Charge
Dan D,Dan,Asc_Dan_D,Dan,Damage,The Intern,Corporate Intern,The Spy / The Scapegoat,22,,Junior Developer / Lookout,DD,1,4,White,77,215,12,9,NW District,House_NWDistrict_Dan_D,Chloe Temple,3,**Partner:** Chloe (Girlfriend). **Student** (Level 3). She supports his dreams.,Hot Coffee,The Spill,Trips and throws scalding hot coffee on the target.,Low
Sam S,Dan,Asc_Sam_S,Sam,Shock,The Worker,Office Drone,The Cog / The Silent Observer,30,,Lead Architect / Alibi,DD,7,9,White,74,200,11.5,9.5,SW District,House_SWDistrict_Sam_S,Blake Blossom,4,"**Partner:** Blake (Wife). A **Receptionist** (Level 4). They share a quiet, boring life.",Stapler,The Snap,Finally snaps and attacks with office supplies in a blind rage.,Charge
Logan X,Nick,Asc_Logan_X,Logan,Xander,The Gym King,Gym Owner,The Warlord / The Beast,32,32,Gym Owner,Erotic Market,8,19,White,70,170,11,8,N District,House_NDistrict_Logan_X,Valerica Steele,7,**Partner:** Valerica (Wife). **Fitness Model** (Level 7). She matches his intensity.,Barbell,The Deadlift,Lifts the opponent over his head and slams them down like a weight.,Charge
Josh R,Nick,Asc_Josh_R,Josh,Rivers,The Punching Bag,Gym Employee,The Victim / The Rat,23,23,UC Cafeteria Staff,College Cafeteria,2,9,White,74,165,10.25,7.5,SW District,House_SWDistrict_Josh_R,Vivianne DeSilva,3,**Partner:** Vivianne (Girlfriend). **Waitress** (Level 3). She pities him.,Mop,The Cower,"Falls to the ground and curls into a ball, creating a tripping hazard.",Low
Kyle M,Nick,Asc_Kyle_M,Kyle,Mason,The Influencer,Fitness Model,The Narcissist / The Brand,25,25,Lifeguard,Beach,3,9,White,72,190,10,9,College Dorm,House_CollegeDorm_Kyle_M,Anna Chambers,5,**Partner:** Anna (Wife). **Photographer** (Level 5). She takes his pictures.,Selfie Stick,The Flash,"Blinds the opponent with a camera flash, then strikes with the stick.",Anti-Air
Luke C,Nick,Asc_Luke_C,Luke,Cooper,The Fighter,MMA Fighter,The Warrior / The Honorable,23,28,Fraternity Member,Fraternity House,7,9,White,72,185,10.5,8,Fraternity House,House_FraternityHouse_Luke_C,Brin Summer,6,**Partner:** Brin (Wife). **Physiotherapist** (Level 6). She keeps him fighting.,MMA Gloves,The Knockout,Delivers a precision roundhouse kick to the head.,Aerial
Zack D,Nick,Asc_Zack_D,Zack,Dickson,The Sadist,Enforcer,The Torturer / The Psycho,22,27,Fraternity Member,Fraternity House,6,9,White,74,200,12,7.5,Fraternity House,House_FraternityHouse_Zack_D,Violet Moore,5,**Partner:** Violet (Girlfriend). **Tattoo Artist** (Level 5). She covers his scars.,Serrated Knife,The Cut,"Slashes with cruel precision, aiming to cause maximum pain rather than instant death.",Low
Chase A,Nick,Asc_Chase_A,Chase,Arcangel,The Dealer,Supplement Supplier,The Pusher / The Chemist,21,26,Fraternity Member,Fraternity House,5,9,White,72,175,11,8,Fraternity House,House_FraternityHouse_Chase_A,Kyler Quinn,4,**Partner:** Kyler (Girlfriend). **Club Promoter** (Level 4). She helps him find clients.,Syringe,The Injection,Stabs the opponent with a mystery cocktail of combat stimulants that causes heart failure.,Charge
Johnny L,Nick,Asc_Johnny_L,Johnny,Love,The Poser,Action Movie Extra,The Fake / The Face,23,28,Fraternity Member,Fraternity House,4,9,Latino,67,196,9,9,Fraternity House,House_FraternityHouse_Johnny_L,Venus Vixen,5,**Partner:** Venus (Girlfriend). **Makeup Artist** (Level 5). She creates his look.,Prop Gun,The Scene,"Acts out a dramatic death scene, confusing the opponent, then kicks them in the groin.",Low
Ryan L,Nick,Asc_Ryan_L,Ryan,Love,The Prankster,Gym Mascot / Troublemaker,The Saboteur / The Fool,21,24,Fraternity Member,Fraternity House,3,9,White,60,265,10,7,Fraternity House,House_FraternityHouse_Ryan_L,Anna Chambers,3,**Partner:** Anna (Girlfriend). **Party Planner** (Level 3). She finds his pranks funny.,Banana Peel,The Slip,Throws a cartoonish hazard that causes the opponent to fall comically and take damage.,Low
Peter K,Rick,Asc_Peter_K,Peter,King,The Luxury Realtor,Real Estate Broker,The Launderer / The Snob,35,35,Clothes Shop Merchant,Clothes Shop,8,15,White,70,160,10.5,8.5,N District,House_NDistrict_Peter_K,Sawyer Cassidy,7,**Partner:** Sawyer (Wife). **Interior Designer** (Level 7). She stages the homes he sells.,Gold Pen,The Closing,Stabs the opponent in the neck with a solid gold fountain pen.,Anti-Air
Eddie D,Rick,Asc_Eddie_D,Eddie,Dean,The Restaurateur,Culinary Club Lead,High-End Chef / Owner / The Smuggler / The Chef,24,32,Student,Culinary Club,7,9,Latino,65,160,10.25,8,College Dorm,House_CollegeDorm_Eddie_D,Valerica Steele,6,**Partner:** Valerica (Wife). **Hostess** (Level 6). She runs the front of house.,Flaming Pan,The Flambé,Throws a pan of burning oil and alcohol at the target.,Charge
Criss S,Rick,Asc_Criss_S,Criss,Simon,The Polished Predator,Corporate Attorney,The Fixer / The Shark,38,38,UC Principal,College Principal Office,9,9,White,73,175,11,8.25,NW District,House_NWDistrict_Criss_S,Kyler Queen,6,**Partner:** Kyler (Wife). **Judge** (Level 6). She rules in his favor.,Gavel,The Objection,"Slams a heavy gavel down, creating a shockwave of legal authority.",Low
Filthy R,Rick,Asc_Filthy_R,Filthy,Rich,The Anxious Opportunist,Investment Banker,The Loan Shark / The Treasurer,40,40,UC Treasurer,College Treasury Office,8,9,White,71,165,10.5,8.5,NW District,House_NWDistrict_Filthy_R,Sidra Sage,5,**Partner:** Sidra (Wife). **Accountant** (Level 5). She cooks the books.,Ledger,The Foreclosure,Slams a heavy ledger book shut on the opponent's fingers or head.,Anti-Air
Kai J,Rick,Asc_Kai_J,Kai,Jaxon,The Cat Burglar,Music Club Lead,High-Stakes Thief / The Shadow / The Collector,21,24,Student,Music Club,6,9,White,72,175,11.5,8,College Dorm,House_CollegeDorm_Kai_J,Eva Nyx,5,**Partner:** Eva (Girlfriend). **Fence** (Level 5). She sells what he steals.,Grappling Hook,The Heist,"Swings from the ceiling to swipe an item from the opponent, then kicks them away.",Aerial
Matty I,Rick,Asc_Matty_I,Matty,Icee,The Enforcer,Chemistry Club Lead,Debt Collector / The Breaker / The Shark,23,29,Student,Chemistry Club,4,9,White,72,165,12,7,College Dorm,House_CollegeDorm_Matty_I,Krissy Knight,4,**Partner:** Krissy (Girlfriend). **Bartender** (Level 4). She keeps his money safe.,Baseball Bat,The Collection,Swings a bat at the opponent's knees to cripple them.,Low
Jodie J,Rick,Asc_Jodie_J,Jodie,Johnson,The Gossip,Art Club Lead,Society Columnist / The Spy / The Blackmailer,22,27,Student,Art Club,5,9,White,72,135,10,7.5,College Dorm,House_CollegeDorm_Jodie_J,Charlotte Mae,5,**Partner:** Charlotte (Wife). **Personal Assistant** (Level 5). She knows everyone's schedule.,Voice Recorder,The Leak,Plays a recording of a secret that stuns the opponent with shame.,Anti-Air
Apollo B,Rick,Asc_Apollo_B,Apollo,Banks,The Puppet,Herbology Club Lead,City Councilman / The Face / The Liar,24,35,Student,Herbology Club,8,9,Latino,70,145,9.5,8,College Dorm,House_CollegeDorm_Apollo_B,Braylin Bailey,7,**Partner:** Braylin (Wife). **Campaign Manager** (Level 7). She runs his life.,Microphone,The Filibuster,Shouts a confusing political speech that stuns the opponent with boredom.,Charge
